location_id,name,stars,rating,num_reviews,ranking_madrid,price_min_usd,price_max_usd,price_lowest,address,phone,latitude,longitude,category,url
190149,Hotel Villa Real,5,4.5,2632,#52 of 498 hotels in Madrid,195,381,$215,"Plaza de las Cortes, 10, 28014 Madrid Spain",+34 914 20 37 67,40.415535,-3.69705,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190149-Reviews-Hotel_Villa_Real-Madrid.html
190151,Hotel Los Condes,3,3.8,966,#236 of 498 hotels in Madrid,93,376,$145,"Calle Libreros 7, 28004 Madrid Spain",+34 915 21 54 55,40.421894,-3.706564,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190151-Reviews-Hotel_Los_Condes-Madrid.html
190157,Catalonia Gran Vía Madrid,4,4.2,630,#173 of 498 hotels in Madrid,177,441,$275,"Gran Via 7- 9, 28013 Madrid Spain",+34 915 31 22 22,40.419514,-3.698507,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190157-Reviews-Catalonia_Gran_Via_Madrid-Madrid.html
190159,Hotel Ópera,4,4.1,1577,#166 of 498 hotels in Madrid,144,395,,"Cuesta Santo Domingo 2, 28013 Madrid Spain",+34 915 41 28 00,40.418846,-3.710229,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190159-Reviews-Hotel_Opera-Madrid.html
190161,Rosewood Villa Magna,5,4.6,903,#97 of 498 hotels in Madrid,986,2285,,"Paseo de la Castellana 22, 28046 Madrid Spain",+34 915 87 12 34,40.429955,-3.688153,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190161-Reviews-Rosewood_Villa_Magna-Madrid.html
190569,"The Palace, a Luxury Collection Hotel, Madrid",5,4.4,5345,#134 of 498 hotels in Madrid,463,990,$651,"Plaza De Las Cortes 7, 28014 Madrid Spain",+34 913 60 80 00,40.415203,-3.694835,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190569-Reviews-The_Palace_a_Luxury_Collection_Hotel_Madrid-Madrid.html
190570,"Mandarin Oriental Ritz, Madrid",5,4.5,307,#96 of 498 hotels in Madrid,1075,2078,"$1,767","Plaza de la Lealtad 5, 28014 Madrid Spain",+34 917 01 67 67,40.41576,-3.692608,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190570-Reviews-Mandarin_Oriental_Ritz_Madrid-Madrid.html
190571,"Santo Mauro, a Luxury Collection Hotel, Madrid",5,4.4,569,#132 of 498 hotels in Madrid,719,1252,,"Zurbano 36, 28010 Madrid Spain",+34 913 19 69 00,40.4309,-3.69353,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190571-Reviews-Santo_Mauro_a_Luxury_Collection_Hotel_Madrid-Madrid.html
190572,Vincci Soma,4,4.1,1895,#112 of 498 hotels in Madrid,156,578,$167,"Calle Goya 79, 28001 Madrid Spain",+34 918 31 55 66,40.425037,-3.677969,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d190572-Reviews-Vincci_Soma-Madrid.html
195190,Hotel Arosa,4,3.7,1380,#265 of 498 hotels in Madrid,,,,"Calle Salud 21, 28013 Madrid Spain",+34 915 32 16 00,40.42001,-3.703198,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d195190-Reviews-Hotel_Arosa-Madrid.html
195191,Hotel Persal,2,4.1,1077,#169 of 498 hotels in Madrid,116,222,,"Plaza del Ángel, 12, 28012 Madrid Spain",+34 913 69 46 43,40.414272,-3.702194,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d195191-Reviews-Hotel_Persal-Madrid.html
198369,Hostal la Macarena,2,4.1,261,#275 of 498 hotels in Madrid,116,188,,"Calle Cava de San Miguel 8, 28005 Madrid Spain",011-34-91-365-9221,40.41472,-3.708123,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d198369-Reviews-Hostal_la_Macarena-Madrid.html
206966,Hotel Motel One Madrid - Plaza De España,4,4.4,632,#141 of 498 hotels in Madrid,145,318,$190,"Calle Del Tutor 1 Esquina Ventura Rodriguez, 28008 Madrid Spain",+34 915 41 98 80,40.425697,-3.713862,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206966-Reviews-Hotel_Motel_One_Madrid_Plaza_De_Espana-Madrid.html
206968,NH Collection Madrid Eurobuilding,4,4.6,2876,#115 of 498 hotels in Madrid,212,643,$327,"Padre Damian, 23, 28036 Madrid Spain",+34 913 53 73 00,40.4582,-3.685823,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206968-Reviews-NH_Collection_Madrid_Eurobuilding-Madrid.html
206970,NH Collection Madrid Colón,4,4.6,1301,#44 of 498 hotels in Madrid,243,498,,"C. del Marqués de Zurgena, 4, 28001 Madrid Spain",+34 915 76 08 00,40.426197,-3.68905,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206970-Reviews-NH_Collection_Madrid_Colon-Madrid.html
206971,NH Collection Madrid Abascal,4,4.6,2304,#30 of 498 hotels in Madrid,148,357,$290,"C/ Jose Abascal 47 Chamberi, 28003 Madrid Spain",+34 914 41 00 15,40.438347,-3.695164,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206971-Reviews-NH_Collection_Madrid_Abascal-Madrid.html
206972,NH Madrid Lagasca,3,4,880,#214 of 498 hotels in Madrid,206,450,$293,"Calle Lagasca 64, 28001 Madrid Spain",+34 915 75 46 06,40.42754,-3.685111,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206972-Reviews-NH_Madrid_Lagasca-Madrid.html
206975,Leonardo Hotel Madrid City Center,3,3.9,502,#216 of 498 hotels in Madrid,120,324,$178,"Calle de Alberto Aguilera 18, 28015 Madrid Spain",+34 914 46 09 00,40.430237,-3.708532,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206975-Reviews-Leonardo_Hotel_Madrid_City_Center-Madrid.html
206976,NH Madrid Ventas,4,4.4,1662,#78 of 498 hotels in Madrid,137,305,$189,"Calle Biarritz 2, 28028 Madrid Spain",+34 913 61 02 88,40.435574,-3.66376,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206976-Reviews-NH_Madrid_Ventas-Madrid.html
206977,NH Madrid Nacional,4,4.3,1662,#80 of 498 hotels in Madrid,165,366,,"Paseo del Prado, 48 Barrio de Las Letras, 28014 Madrid Spain",+34 914 29 66 29,40.40978,-3.692687,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206977-Reviews-NH_Madrid_Nacional-Madrid.html
206978,H10 Puerta de Alcala,4,4.3,933,#113 of 498 hotels in Madrid,160,409,,"Calle de Alcala 66, 28009 Madrid Spain",+34 914 35 10 60,40.42217,-3.68116,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206978-Reviews-H10_Puerta_de_Alcala-Madrid.html
206979,NH Madrid Chamberi,3,4.1,659,#154 of 498 hotels in Madrid,153,315,,"Calle Breton de los Herreros 29, 28003 Madrid Spain",+34 914 42 83 00,40.43961,-3.698256,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206979-Reviews-NH_Madrid_Chamberi-Madrid.html
206980,Erase un Hotel,3,3.8,252,#279 of 498 hotels in Madrid,74,251,$149,"Calle Bravo Murillo 304 Tetuán, 28020 Madrid Spain",+34 915 71 28 80,40.462997,-3.696761,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206980-Reviews-Erase_un_Hotel-Madrid.html
206981,NH Madrid Paseo de la Habana,4,3.6,1148,#245 of 498 hotels in Madrid,150,378,$233,"Paseo de la Habana, 73, 28036 Madrid Spain",+34 914 43 07 20,40.455814,-3.681824,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206981-Reviews-NH_Madrid_Paseo_de_la_Habana-Madrid.html
206982,NH Madrid Balboa,4,4.2,364,#163 of 498 hotels in Madrid,183,364,$265,"Calle Nunez de Balboa 112, 28006 Madrid Spain",+34 915 63 03 24,40.435978,-3.681778,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206982-Reviews-NH_Madrid_Balboa-Madrid.html
206983,NH Madrid Zurbano,4,4.1,1305,#189 of 498 hotels in Madrid,152,343,$198,"Calle Zurbano 79-81 Chamberi, 28003 Madrid Spain",+34 914 41 45 00,40.438923,-3.692894,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206983-Reviews-NH_Madrid_Zurbano-Madrid.html
206984,Novotel Madrid Campo De Las Naciones Hotel,4,4,235,#252 of 498 hotels in Madrid,148,400,$315,"Calle Amsterdam 3 Campo De Las Naciones, 28042 Madrid Spain",+34 917 21 18 18,40.46804,-3.571361,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206984-Reviews-Novotel_Madrid_Campo_De_Las_Naciones_Hotel-Madrid.html
206985,Leonardo Boutique Hotel Madrid,3,4,227,#291 of 498 hotels in Madrid,118,281,,"Calle Vallehermoso 65 Universidad, Chamberi, 28015 Madrid Spain",+34 915 93 97 77,40.437237,-3.708549,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206985-Reviews-Leonardo_Boutique_Hotel_Madrid-Madrid.html
206986,Novotel Madrid City Las Ventas,4,4.3,197,#227 of 498 hotels in Madrid,130,326,$159,"Calle Albacete 1 Esquina avenida de badajoz, 28027 Madrid Spain",+34 917 24 76 00,40.441277,-3.657714,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206986-Reviews-Novotel_Madrid_City_Las_Ventas-Madrid.html
206987,NH Madrid Atocha,3,4.2,939,#161 of 498 hotels in Madrid,157,364,$183,"Paseo Infanta Isabel 9 Front to Atocha train station, 28014 Madrid Spain",+34 915 39 94 00,40.407806,-3.689272,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206987-Reviews-NH_Madrid_Atocha-Madrid.html
206988,Sercotel Gran Hotel Conde Duque,4,4.1,1432,#195 of 498 hotels in Madrid,145,314,$213,"Plaza Conde del Valle de Suchil 5, 28015 Madrid Spain",+34 914 47 70 00,40.43077,-3.707741,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206988-Reviews-Sercotel_Gran_Hotel_Conde_Duque-Madrid.html
206992,Hotel Moderno,3,4.3,1807,#103 of 498 hotels in Madrid,129,308,$205,"Calle Arenal 2, 28013 Madrid Spain",+34 915 31 09 00,40.416973,-3.704872,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206992-Reviews-Hotel_Moderno-Madrid.html
206994,Hotel NH Madrid Barajas Airport,3,4,891,#217 of 498 hotels in Madrid,109,243,,"Calle Catamaran 1 Alameda de Osuna, 28042 Madrid Spain",+34 917 42 02 00,40.450867,-3.59509,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187514-d206994-Reviews-Hotel_NH_Madrid_Barajas_Airport-Madrid.html
